レベル,都道府県名,市区町村名,大字・丁目名,小字・通称名,街区符号・地番,離島ID,行政区域コード,支庁・振興局名,郡・政令都市名,原典市区町村名,指定地域名,島名,住所
街区,長崎県,佐世保市,宇久町神浦,,3334,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３３４
街区,長崎県,佐世保市,宇久町神浦,,3256,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２５６
街区,長崎県,佐世保市,宇久町神浦,,3258,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２５８
街区,長崎県,佐世保市,宇久町神浦,,3302,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３０２
街区,長崎県,佐世保市,宇久町神浦,,3314,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３１４
街区,長崎県,佐世保市,宇久町飯良,,2421,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良２４２１
街区,長崎県,佐世保市,宇久町神浦,,3242,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２４２
街区,長崎県,佐世保市,宇久町神浦,,3321,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３２１
街区,長崎県,佐世保市,宇久町神浦,,3322,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３３２２
街区,長崎県,佐世保市,宇久町神浦,,3231,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２３１
街区,長崎県,佐世保市,宇久町神浦,,3236,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２３６
街区,長崎県,佐世保市,宇久町神浦,,3239,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２３９
街区,長崎県,佐世保市,宇久町神浦,,3241,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２４１
街区,長崎県,佐世保市,宇久町神浦,,2945,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９４５
街区,長崎県,佐世保市,宇久町神浦,,2946,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９４６
街区,長崎県,佐世保市,宇久町神浦,,3009,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３００９
街区,長崎県,佐世保市,宇久町神浦,,3014,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３０１４
街区,長崎県,佐世保市,宇久町神浦,,3030,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３０３０
街区,長崎県,佐世保市,宇久町神浦,,3033,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３０３３
街区,長崎県,佐世保市,宇久町神浦,,3146,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１４６
街区,長崎県,佐世保市,宇久町神浦,,3150,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１５０
街区,長崎県,佐世保市,宇久町神浦,,2439,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２４３９
街区,長崎県,佐世保市,宇久町神浦,,2813,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２８１３
街区,長崎県,佐世保市,宇久町神浦,,2815,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２８１５
街区,長崎県,佐世保市,宇久町神浦,,2823,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２８２３
街区,長崎県,佐世保市,宇久町神浦,,2099,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２０９９
街区,長崎県,佐世保市,宇久町神浦,,2971,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９７１
街区,長崎県,佐世保市,宇久町神浦,,2976,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９７６
街区,長崎県,佐世保市,宇久町神浦,,2983,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９８３
街区,長崎県,佐世保市,宇久町神浦,,2984,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９８４
街区,長崎県,佐世保市,宇久町神浦,,2985,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９８５
街区,長崎県,佐世保市,宇久町神浦,,2992,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９９２
街区,長崎県,佐世保市,宇久町神浦,,3155,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１５５
街区,長崎県,佐世保市,宇久町神浦,,3161,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１６１
街区,長崎県,佐世保市,宇久町神浦,,3174,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１７４
街区,長崎県,佐世保市,宇久町神浦,,3185,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１８５
街区,長崎県,佐世保市,宇久町神浦,,3178,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１７８
街区,長崎県,佐世保市,宇久町神浦,,3188,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１８８
街区,長崎県,佐世保市,宇久町神浦,,3190,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１９０
街区,長崎県,佐世保市,宇久町神浦,,3198,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１９８
街区,長崎県,佐世保市,宇久町神浦,,3201,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２０１
街区,長崎県,佐世保市,宇久町神浦,,3204,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２０４
街区,長崎県,佐世保市,宇久町神浦,,2790,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２７９０
街区,長崎県,佐世保市,宇久町神浦,,2879,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２８７９
街区,長崎県,佐世保市,宇久町神浦,,3186,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１８６
街区,長崎県,佐世保市,宇久町神浦,,3210,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２１０
街区,長崎県,佐世保市,宇久町神浦,,2955,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９５５
街区,長崎県,佐世保市,宇久町神浦,,2966,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９６６
街区,長崎県,佐世保市,宇久町神浦,,2994,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９９４
街区,長崎県,佐世保市,宇久町神浦,,2995,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９９５
街区,長崎県,佐世保市,宇久町神浦,,3008,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３００８
街区,長崎県,佐世保市,宇久町神浦,,3181,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３１８１
街区,長崎県,佐世保市,宇久町神浦,,3218,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３２１８
街区,長崎県,佐世保市,宇久町神浦,,2948,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９４８
街区,長崎県,佐世保市,宇久町神浦,,2952,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９５２
街区,長崎県,佐世保市,宇久町神浦,,2993,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２９９３
街区,長崎県,佐世保市,宇久町神浦,,3004,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦３００４
街区,長崎県,佐世保市,宇久町神浦,,2031,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町神浦２０３１
